ID	名称	放置后图像	内部名称	安全墙[a]
208	余烬墙	Ember Wall (placed).png	LavaUnsafe1	❌
209	灰渣墙	Cinder Wall (placed).png	LavaUnsafe2	❌
210	岩浆墙	Magma Wall (placed).png	LavaUnsafe3	❌
211	阴燃石墙	Smouldering Stone Wall (placed).png	LavaUnsafe4	❌
212	破旧石墙	Worn Stone Wall (placed).png	RocksUnsafe1	❌
213	钟乳石墙	Stalactite Stone Wall (placed).png	RocksUnsafe2	❌
214	斑驳石墙	Mottled Stone Wall (placed).png	RocksUnsafe3	❌
215	断裂石墙	Fractured Stone Wall (placed).png	RocksUnsafe4	❌
216	硬化沙墙	Hardened Sand Wall (placed).png	HardenedSand	❌
217	硬化黑檀沙墙	Hardened Ebonsand Wall (placed).png	CorruptHardenedSand	❌
218	硬化猩红沙墙	Hardened Crimsand Wall (placed).png	CrimsonHardenedSand	❌
219	硬化珍珠沙墙	Hardened Pearlsand Wall (placed).png	HallowHardenedSand	❌
220	黑檀沙岩墙	Ebonsandstone Wall (placed).png	CorruptSandstone	❌
221	猩红沙岩墙	Crimsandstone Wall (placed).png	CrimsonSandstone	❌
222	珍珠沙岩墙	Pearlsandstone Wall (placed).png	HallowSandstone	❌
223	沙漠化石墙	Desert Fossil Wall (placed).png	DesertFossil	✔️
224	夜明砖墙	Luminite Brick Wall (placed).png	LunarBrickWall	✔️
225	齿轮墙	Cog Wall (placed).gif	CogWall	✔️
226	落沙墙	Sandfall Wall (placed).gif	SandFall	✔️
227	降雪墙	Snowfall Wall (placed).gif	SnowFall	✔️
228	呆萌粉气球墙	Silly Pink Balloon Wall (placed).png	SillyBalloonPinkWall	✔️
229	呆萌紫气球墙	Silly Purple Balloon Wall (placed).png	SillyBalloonPurpleWall	✔️
230	呆萌绿气球墙	Silly Green Balloon Wall (placed).png	SillyBalloonGreenWall	✔️
231	铁砖墙	Iron Brick Wall (placed).png	IronBrick	✔️
232	铅砖墙	Lead Brick Wall (placed).png	LeadBrick	✔️
233	病变块墙	Lesion Block Wall (placed).png	LesionBlock	✔️
234	猩红石砖墙	Crimstone Brick Wall (placed).png	CrimstoneBrick	✔️
235	光面沙岩墙	Smooth Sandstone Wall (placed).png	SmoothSandstone	✔️
236	蜘蛛窝墙	Spider Nest Wall (placed).png	Spider	✔️
237	日耀砖墙	Solar Brick Wall (placed).png	SolarBrick	✔️
238	星旋砖墙	Vortex Brick Wall (placed).png	VortexBrick	✔️
239	星云砖墙	Nebula Brick Wall (placed).png	NebulaBrick	✔️
240	星尘砖墙	Stardust Brick Wall (placed).png	StardustBrick	✔️
241	橙花窗玻璃	Orange Stained Glass (placed).png	OrangeStainedGlass	✔️
242	金星墙	Gold Starry Wall (placed).gif	GoldStarryGlassWall	✔️
243	蓝星墙	Blue Starry Wall (placed).gif	BlueStarryGlassWall	✔️
244	生命木墙	Living Wood Wall (placed).png	LivingWoodUnsafe	❌
245	铁艺栅栏	Wrought Iron Fence (placed).png	WroughtIronFence	✔️
246	黑檀石墙	Ebonstone Wall (placed).png	EbonstoneEcho	✔️
247	泥墙	Mud Wall (placed).png	MudWallEcho	✔️
248	珍珠石墙	Pearlstone Wall (placed).png	PearlstoneEcho	✔️
249	雪墙	Snow Wall (placed).png	SnowWallEcho	✔️
250	紫晶石墙	Amethyst Stone Wall (placed).png	AmethystEcho	✔️
251	黄玉石墙	Topaz Stone Wall (placed).png	TopazEcho	✔️
252	蓝玉石墙	Sapphire Stone Wall (placed).png	SapphireEcho	✔️
253	翡翠石墙	Emerald Stone Wall (placed).png	EmeraldEcho	✔️
254	红玉石墙	Ruby Stone Wall (placed).png	RubyEcho	✔️
255	钻石石墙	Diamond Stone Wall (placed).png	DiamondEcho	✔️
256	绿苔藓墙	Green Mossy Wall (placed).png	Cave1Echo	✔️
257	棕苔藓墙	Brown Mossy Wall (placed).png	Cave2Echo	✔️
258	红苔藓墙	Red Mossy Wall (placed).png	Cave3Echo	✔️
259	蓝苔藓墙	Blue Mossy Wall (placed).png	Cave4Echo	✔️
260	紫苔藓墙	Purple Mossy Wall (placed).png	Cave5Echo	✔️
261	岩石土墙	Rocky Dirt Wall (placed).png	Cave6Echo	✔️
262	古老石墙	Old Stone Wall (placed).png	Cave7Echo	✔️
263	蜘蛛墙	Spider Wall (placed).png	SpiderEcho	✔️
264	腐化草墙	Corrupt Grass Wall (placed).png	CorruptGrassEcho	✔️
265	神圣草墙	Hallowed Grass Wall (placed).png	HallowedGrassEcho	✔️
266	冰雪墙	Ice Wall (placed).png	IceEcho	✔️
267	黑曜石墙	Obsidian Wall (placed).png	ObsidianBackEcho	✔️
268	猩红草墙	Crimson Grass Wall (placed).png	CrimsonGrassEcho	✔️
269	猩红石墙	Crimstone Wall (placed).png	CrimstoneEcho	✔️
270	洞穴土墙	Cave Dirt Wall (placed).png	CaveWall1Echo	✔️
271	粗糙土墙	Rough Dirt Wall (placed).png	CaveWall2Echo	✔️
272	大理石墙	Marble Wall (placed).png	MarbleEchoUnused	✔️
273	花岗岩墙	Granite Wall (placed).png	GraniteEchoUnused	✔️
274	崎岖石墙	Craggy Stone Wall (placed).png	Cave8Echo	✔️
275	沙岩墙	Sandstone Wall (placed).png	SandstoneEcho	✔️
276	腐化赘生墙	Corrupt Growth Wall (placed).png	Corruption1Echo	✔️
277	腐化团块墙	Corrupt Mass Wall (placed).png	Corruption2Echo	✔️
278	腐化脓疱墙	Corrupt Pustule Wall (placed).png	Corruption3Echo	✔️
279	腐化卷须墙	Corrupt Tendril Wall (placed).png	Corruption4Echo	✔️
280	猩红硬皮墙	Crimson Crust Wall (placed).png	Crimson1Echo	✔️
281	猩红疮痂墙	Crimson Scab Wall (placed).png	Crimson2Echo	✔️
282	猩红尖牙墙	Crimson Teeth Wall (placed).png	Crimson3Echo	✔️
283	猩红水疱墙	Crimson Blister Wall (placed).png	Crimson4Echo	✔️
284	分层土墙	Layered Dirt Wall (placed).png	Dirt1Echo	✔️
285	剥落土墙	Crumbling Dirt Wall (placed).png	Dirt2Echo	✔️
286	破裂土墙	Cracked Dirt Wall (placed).png	Dirt3Echo	✔️
287	皱曲土墙	Wavy Dirt Wall (placed).png	Dirt4Echo	✔️
288	神圣棱柱墙	Hallowed Prism Wall (placed).png	Hallow1Echo	✔️
289	神圣洞穴墙	Hallowed Cavern Wall (placed).png	Hallow2Echo	✔️
290	神圣碎块墙	Hallowed Shard Wall (placed).png	Hallow3Echo	✔️
291	神圣结晶墙	Hallowed Crystalline Wall (placed).png	Hallow4Echo	✔️
292	地衣石墙	Lichen Stone Wall (placed).png	Jungle1Echo	✔️
293	多叶丛林墙	Leafy Jungle Wall (placed).png	Jungle2Echo	✔️
294	常春藤石墙	Ivy Stone Wall (placed).png	Jungle3Echo	✔️
295	丛林藤蔓墙	Jungle Vine Wall (placed).png	Jungle4Echo	✔️
296	余烬墙	Ember Wall (placed).png	Lava1Echo	✔️
297	灰渣墙	Cinder Wall (placed).png	Lava2Echo	✔️
298	岩浆墙	Magma Wall (placed).png	Lava3Echo	✔️
299	阴燃石墙	Smouldering Stone Wall (placed).png	Lava4Echo	✔️
300	破旧石墙	Worn Stone Wall (placed).png	Rocks1Echo	✔️
301	钟乳石墙	Stalactite Stone Wall (placed).png	Rocks2Echo	✔️
302	斑驳石墙	Mottled Stone Wall (placed).png	Rocks3Echo	✔️
303	断裂石墙	Fractured Stone Wall (placed).png	Rocks4Echo	✔️
304	硬化沙墙	Hardened Sand Wall (placed).png	HardenedSandEcho	✔️
305	硬化黑檀沙墙	Hardened Ebonsand Wall (placed).png	CorruptHardenedSandEcho	✔️
306	硬化猩红沙墙	Hardened Crimsand Wall (placed).png	CrimsonHardenedSandEcho	✔️
307	硬化珍珠沙墙	Hardened Pearlsand Wall (placed).png	HallowHardenedSandEcho	✔️
308	黑檀沙岩墙	Ebonsandstone Wall (placed).png	CorruptSandstoneEcho	✔️
309	猩红沙岩墙	Crimsandstone Wall (placed).png	CrimsonSandstoneEcho	✔️
310	珍珠沙岩墙	Pearlsandstone Wall (placed).png	HallowSandstoneEcho	✔️
311	沙漠化石墙	Desert Fossil Wall (placed).png	DesertFossilEcho	✔️
312	竹墙	Bamboo Wall (placed).png	BambooBlockWall	✔️
313	大竹墙	Large Bamboo Wall (placed).png	LargeBambooBlockWall	✔️
314	琥珀石墙	Amber Stone Wall (placed).png	AmberStoneWallEcho	✔️
315	竹栅栏	Bamboo Fence (placed).png	BambooFence	✔️
316	灰烬木墙	Ash Wood Wall (placed).png	AshWood	✔️
317	灰烬木栅栏	Ash Wood Fence (placed).png	AshWoodFence	✔️
318	回声墙	Echo Wall (placed).png	EchoWall	✔️
319	珊瑚礁墙	Reef Wall (placed).png	ReefWall	✔️
320	臭臭墙	Poo Wall (placed).png	PoopWall	✔️
321	以太墙	Aetherium Wall (placed).png	ShimmerBlockWall	✔️
322	以太砖墙	Aetherium Brick Wall (placed).png	ShimmerBrickWall	✔️
323	月锈砖墙	Lunar Rust Brick Wall (placed).png	LunarRustBrickWall	✔️
324	暗黑天界砖墙	Dark Celestial Brick Wall (placed).png	DarkCelestialBrickWall	✔️
325	星芒砖墙	Astra Brick Wall (placed).png	AstraBrickWall	✔️
326	宇宙余烬砖墙	Cosmic Ember Brick Wall (placed).png	CosmicEmberBrickWall	✔️
327	冷核砖墙	Cryocore Brick Wall (placed).png	CryocoreBrickWall	✔️
328	水星砖墙	Mercury Brick Wall (placed).png	MercuryBrickWall	✔️
329	星星皇家砖墙	Star Royale Brick Wall (placed).png	StarRoyaleBrickWall	✔️
330	天熔砖墙	Heavenforge Brick Wall (placed).png	HeavenforgeBrickWall	✔️
331	远古蓝砖墙	Ancient Blue Brick Wall (placed).png	AncientBlueBrickWall	✔️
332	远古绿砖墙	Ancient Green Brick Wall (placed).png	AncientGreenBrickWall	✔️
333	远古粉砖墙	Ancient Pink Brick Wall (placed).png	AncientPinkBrickWall	✔️
334	远古金砖墙	Ancient Gold Brick Wall (placed).png	AncientGoldBrickWall	✔️
335	远古银砖墙	Ancient Silver Brick Wall (placed).png	AncientSilverBrickWall	✔️
336	远古铜砖墙	Ancient Copper Brick Wall (placed).png	AncientCopperBrickWall	✔️
337	远古黑曜石砖墙	Ancient Obsidian Brick Wall (placed).png	AncientObsidianBrickWall	✔️
338	远古狱石砖墙	Ancient Hellstone Brick Wall (placed).png	AncientHellstoneBrickWall	✔️
339	远古钴砖墙	Ancient Cobalt Brick Wall (placed).png	AncientCobaltBrickWall	✔️
340	远古秘银砖墙	Ancient Mythril Brick Wall (placed).png	AncientMythrilBrickWall	✔️
341	熔岩苔藓砖墙	Lava Moss Brick Wall (placed).png	LavaMossBlockWall	✔️
342	氩苔藓砖墙	Argon Moss Brick Wall (placed).png	ArgonMossBlockWall	✔️
343	氪苔藓砖墙	Krypton Moss Brick Wall (placed).png	KryptonMossBlockWall	✔️
344	氙苔藓砖墙	Xenon Moss Brick Wall (placed).png	XenonMossBlockWall	✔️
345	氖苔藓砖墙	Neon Moss Brick Wall (placed).png	VioletMossBlockWall	✔️
346	氦苔藓砖墙	Helium Moss Brick Wall (placed).gif	RainbowMossBlockWall	✔️
