

本Wiki中译名以官方Wiki中文语言包为准
射弹 ID
跳到导航跳到搜索
主文章：数据 ID
此页面包含有泰拉瑞亚游戏代码中用于引用射弹的内部射弹 ID 的可排序列表。此信息对于研究性目的或开发诸如模组之类的第三方软件会很有用。


目录
1	ID 列表
2	前代主机版/3DS版
3	历史
ID 列表
射弹	来源
ID	图像	名称	内部名称
42	Sand Ball.png	沙球	SandBallGun	使用沙的沙枪
43	Tombstone.png	墓石	Tombstone	任意玩家死亡，或者，在硬核中，除商人和税收官外任意城镇 NPC 死亡
44	Demon Scythe (projectile).gif	恶魔镰刀	DemonSickle	恶魔、大恶魔、巫毒恶魔
45	Demon Scythe (projectile).gif	恶魔锄刀	DemonScythe	恶魔锄刀
46	Dark Lance (projectile).png	暗黑长枪	DarkLance	暗黑长枪
47	Trident (projectile).png	三叉戟	Trident	三叉戟
48	Throwing Knife.png	投刀	ThrowingKnife	投刀（抛出的）
49	Spear (projectile).png	长矛	Spear	长矛
50	Glowstick (projectile).png	荧光棒	Glowstick	荧光棒（抛出的）
51	Seed (projectile).png	种子	Seed	吹管、吹箭筒
52	Wooden Boomerang.png	木制回旋镖	WoodenBoomerang	木制回旋镖（抛出的）
53	Sticky Glowstick (projectile).png	粘性荧光棒	StickyGlowstick	粘性荧光棒（抛出的）
54	Poisoned Knife.png	毒刀	PoisonedKnife	毒刀（抛出的）
55	Hornet Stinger.png	毒刺	Stinger	所有种类的黄蜂
56	Ebonsand Ball.png	黑檀沙球	EbonsandBallFalling	黑檀沙（下落中）
57	Cobalt Chainsaw.png	钴链锯	CobaltChainsaw	钴链锯
58	Mythril Chainsaw.png	秘银链锯	MythrilChainsaw	秘银链锯
59	Cobalt Drill.png	钴钻头	CobaltDrill	钴钻头
60	Mythril Drill.png	秘银钻头	MythrilDrill	秘银钻头
61	Adamantite Chainsaw.png	精金链锯	AdamantiteChainsaw	精金链锯
62	Adamantite Drill.png	精金钻头	AdamantiteDrill	精金钻头
63	Dao of Pow (projectile).png	太极连枷	TheDaoofPow	太极连枷
64	Mythril Halberd (projectile).png	秘银长戟	MythrilHalberd	秘银长戟
65	Ebonsand Ball.png	黑檀沙球	EbonsandBallGun	使用黑檀沙的沙枪
66	Adamantite Glaive (projectile).png	精金关刀	AdamantiteGlaive	精金关刀
67	Pearlsand Ball.png	珍珠沙球	PearlSandBallFalling	珍珠沙（下落中）
68	Pearlsand Ball.png	珍珠沙球	PearlSandBallGun	使用珍珠沙的沙枪
69	Holy Water.png	圣水	HolyWater	圣水（抛出的）
70	Unholy Water.png	邪水	UnholyWater	邪水（抛出的）
71	Silt Ball.png	泥沙球	SiltBall	泥沙（下落中）
72	Blue Fairy (pet).png	蓝仙灵	BlueFairy	仙灵铃铛
73	Blue Dual Hook.png	双钩（蓝）	DualHookBlue	双钩
74	Red Dual Hook.png	双钩（红）	DualHookRed	双钩
75	Happy Bomb.png	快乐炸弹	HappyBomb	小丑
76	Note 1.png	四分音符	QuarterNote	魔法竖琴
77	Note 2.png	八分音符	EighthNote	魔法竖琴
78	Note 3.png	连结八分音符	TiedEighthNote	魔法竖琴
79	Rainbow Rod (projectile).png	彩虹	RainbowRodBullet	彩虹魔杖
80	Ice Block (projectile).png	冰雪块	IceBlock	冰雪魔杖
81	Wooden Arrow.png	木箭（敌方）	WoodenArrowHostile	哥布林弓箭手
82	Flaming Arrow.png	烈焰箭	FlamingArrow	骷髅弓箭手
83	Eye Laser.png	魔眼激光	EyeLaser	激光眼、血肉墙
84	Pink Laser.png	粉激光	PinkLaser	腹足怪、探测怪
85	Flames (friendly) (projectile).png	火焰	Flames	火焰喷射器
86	Pink Fairy (pet).png	粉仙灵	PinkFairy	仙灵铃铛
87	Green Fairy (pet).png	绿仙灵	GreenFairy	仙灵铃铛
88	Purple Laser (projectile).png	紫激光	PurpleLaser	激光步枪
89	Crystal Bullet (projectile).png	水晶子弹	CrystalBullet	使用水晶子弹的任意标准枪
90	Crystal Fragment.png	水晶碎块	CrystalShard	水晶子弹
91	Holy Arrow.png	圣箭	HolyArrow	使用圣箭的任意标准弓/连弩
92	Hallow Star.png	神圣之星	HallowStar	圣箭、蜜蜂斗篷、星星斗篷、星星面纱
93	Magic Dagger.png	魔法飞刀	MagicDagger	魔法飞刀（抛出的）
94	Crystal Storm (projectile).png	水晶风暴	CrystalStorm	水晶风暴
95	Cursed Flame (projectile).png	诅咒焰（友方）	CursedFlameFriendly	诅咒焰
96	Cursed Flame (projectile).png	诅咒焰（敌方）	CursedFlameHostile	爬藤怪、魔焰眼
97	Cobalt Naginata (projectile).png	钴薙刀	CobaltNaginata	钴薙刀
98	Poison Dart Trap (projectile).png	毒镖	PoisonDart	飞镖机关
99	Boulder (projectile).png	巨石	Boulder	滚动中的巨石
100	Death Laser (projectile).png	死亡激光	DeathLaser	激光眼（第二形态）、毁灭者身体、机械激光
101	Cursed Flame (projectile).png	魔眼烈火	EyeFire	魔焰眼
102	Skeletron Bomb.gif	机械骷髅王炸弹	BombSkeletronPrime	机械炮
103	Cursed Arrow.png	诅咒箭	CursedArrow	使用诅咒箭的任意标准弓/连弩
104	Cursed Bullet (projectile).png	诅咒弹	CursedBullet	使用诅咒弹的任意标准枪
105	Gungnir (projectile).png	永恒之枪	Gungnir	永恒之枪
106	Light Disc.png	光辉飞盘	LightDisc	光辉飞盘（抛出的）
107	Drax.png	锤斧钻	Hamdrax	斧钻
108	Explosives.png	炸药	Explosives	炸药
109	Snow Ball (hostile) (projectile).png	雪球（敌方）	SnowBallHostile	巴拉雪人
110	Bullet (projectile).png	雪人子弹	BulletSnowman	雪人暴徒
111	Bunny Pet.png	兔兔	Bunny	胡萝卜
112	Baby Penguin.png	企鹅	Penguin	鱼（物品）
113	Ice Boomerang.png	冰雪回旋镖	IceBoomerang	冰雪回旋镖（抛出的）
114	Unholy Trident (projectile).png	邪恶三叉戟（友方）	UnholyTridentFriendly	邪恶三叉戟
115	Unholy Trident (projectile).png	邪恶三叉戟（敌方）	UnholyTridentHostile	红魔鬼
116	Beam Sword Beam.png	剑束	SwordBeam	光束剑
117	Bone Arrow (projectile).png	骨箭	BoneArrow	使用任意类型箭的骸骨弓
118	Ice Bolt.png	冰雪矢	IceBolt	冰雪刃
119	Frost Bolt.png	寒霜矢	FrostBoltSword	寒霜剑
120	Frost Arrow.png	寒霜箭	FrostArrow	使用任意类型箭的冰雪弓
121	Amethyst Bolt.png	紫晶矢	AmethystBolt	紫晶法杖
122	Topaz Bolt.png	黄玉矢	TopazBolt	黄玉法杖
123	Sapphire Bolt.png	蓝玉矢	SapphireBolt	蓝玉法杖
124	Emerald Bolt.png	翡翠矢	EmeraldBolt	翡翠法杖
125	Ruby Bolt.png	红玉矢	RubyBolt	红玉法杖
126	Diamond Bolt.png	钻石矢	DiamondBolt	钻石法杖
127	Pet Turtle.png	龟	Turtle	海草
128	Ice Bolt.png	寒霜冲击（敌方）	FrostBlastHostile	冰雪精
129	Ice Bolt.png	符文爆破弹	RuneBlast	符文巫师
130	Mushroom Spear (projectile).png	蘑菇长矛	MushroomSpear	蘑菇长矛
131	Mushroom (projectile).gif	蘑菇	Mushroom	蘑菇长矛、蘑菇锤
132	Terra Blade Beam.png	泰拉光束	TerraBeam	泰拉刃
133	Grenade I.png	初级榴弹	GrenadeI	使用初级火箭的榴弹发射器
134	Rocket I.png	初级火箭	RocketI	使用初级火箭的火箭发射器
135	Mine I.png	初级感应雷	ProximityMineI	使用初级火箭的感应雷发射器
136	Grenade II.png	二级榴弹	GrenadeII	使用二级火箭的榴弹发射器
137	Rocket II (projectile).png	二级火箭	RocketII	使用二级火箭的火箭发射器
138	Mine II.png	二级感应雷	ProximityMineII	使用二级火箭的感应雷发射器
139	Grenade III.png	三级榴弹	GrenadeIII	使用三级火箭的榴弹发射器
140	Rocket III (projectile).png	三级火箭	RocketIII	使用三级火箭的火箭发射器
141	Mine III.png	三级感应雷	ProximityMineIII	使用三级火箭的感应雷发射器
142	Grenade IV.png	四级榴弹	GrenadeIV	使用四级火箭的榴弹发射器
143	Rocket IV (projectile).png	四级火箭	RocketIV	使用四级火箭的火箭发射器
144	Mine IV.png	四级感应雷	ProximityMineIV	使用四级火箭的感应雷发射器
145	Pure Spray.png	纯净喷射	PureSpray	使用绿溶液的环境改造枪
146	Hallow Spray.png	神圣喷射	HallowSpray	使用蓝溶液的环境改造枪
147	Corrupt Spray.png	腐化喷射	CorruptSpray	使用紫溶液的环境改造枪
148	Mushroom Spray.png	蘑菇喷射	MushroomSpray	使用深蓝溶液的环境改造枪
149	Ember Bolt.png	猩红喷射	CrimsonSpray	使用红溶液的环境改造枪
150	Nettle Burst (1).png	爆裂藤蔓（右）	NettleBurstRight	爆裂藤蔓
151	Nettle Burst (2).png	爆裂藤蔓（左）	NettleBurstLeft	爆裂藤蔓
152	Nettle Burst End.png	爆裂藤蔓（末端）	NettleBurstEnd	爆裂藤蔓
153	The Rotted Fork (projectile).png	腐叉	TheRottedFork	腐叉
154	The Meatball (projectile).png	血肉之球	TheMeatball	血肉之球
155	Beach Ball.png	沙滩球	BeachBall	沙滩球（抛出的）
156	Excalibur Beam.png	光明光束	LightBeam	真断钢剑
157	Night's Edge Beam.png	永夜光束	NightBeam	真永夜刃
158	C Shot.png	铜币	CopperCoin	使用铜币的钱币枪
159	S Shot.png	银币	SilverCoin	使用银币的钱币枪
160	G Shot.png	金币	GoldCoin	使用金币的钱币枪
161	P Shot.png	铂金币	PlatinumCoin	使用铂金币的钱币枪
162	Cannonball (projectile).png	炮弹（友方）	CannonballFriendly	使用炮弹的大炮
163	Flare Shot.png	照明弹	Flare	使用红色照明弹的信号枪
164	Land Mine.png	地雷	Landmine	地雷
165	Web Shot.png	蛛丝	Web	蛛丝吊索
166	Snow Ball (friendly) (projectile).png	雪球（友方）	SnowBallFriendly	雪球（抛出的）、雪球炮、雪球发射器
167	Red Firework Rocket (projectile).png	红烟花火箭	RocketFireworkRed	红火箭、喜庆弹射器
168	Green Firework Rocket (projectile).png	绿烟花火箭	RocketFireworkGreen	绿火箭、喜庆弹射器
169	Blue Firework Rocket (projectile).png	蓝烟花火箭	RocketFireworkBlue	蓝火箭、喜庆弹射器
170	Yellow Firework Rocket (projectile).png	黄烟花火箭	RocketFireworkYellow	黄火箭、喜庆弹射器
171	Rope Coil (projectile).png	绳圈	RopeCoil	绳圈（抛出的）
172	Frostburn Arrow.png	霜冻箭	FrostburnArrow	使用霜冻箭的任意标准弓/连弩
173	Enchanted Sword Beam.png	附魔光束	EnchantedBeam	附魔剑（物品）
174	Ice Spike.png	冰雪尖刺	IceSpike	尖刺冰雪史莱姆
175	Baby Eater.gif	吞噬怪宝宝	BabyEater	吞噬怪骨头
176	Jungle Spike.png	丛林尖刺	JungleSpike	尖刺丛林史莱姆
177	Frost Bolt.png	冰水唾液	IcewaterSpit	冰雪人鱼
178	Confetti.png	彩纸	ConfettiGun	彩纸枪
179	Slush Ball.png	雪泥球	SlushBall	雪泥（下落中）
180	Bullet (projectile).png	神射手子弹	BulletDeadeye	海盗神射手、骷髅特警、海盗船长
181	Bee (projectile).gif	蜜蜂	Bee	蜜蜂枪、养蜂人
182	Possessed Hatchet.png	疯狂飞斧	PossessedHatchet	疯狂飞斧
183	Beenade.png	蜜蜂手榴弹	Beenade	蜜蜂手榴弹（抛出的）
184	Poison Dart (projectile).png	毒镖	PoisonDartTrap	超级飞镖机关
185	Spiky Ball Trap (projectile).png	尖球	SpikyBallTrap	尖球机关
186	Spear Trap Spear.png	长矛	SpearTrap	长矛机关
187	Flames (friendly) (projectile).png	火焰喷射器	FlamethrowerTrap	烈焰机关
188	Flames (friendly) (projectile).png	火焰	FlamesTrap	烈焰机关
189	Wasp.gif	胡蜂	Wasp	胡蜂枪
190	Piranha Gun (projectile).gif	机械食人鱼	MechanicalPiranha	食人鱼枪
191	Pygmy 1.png	矮人 1	Pygmy	矮人法杖
192	Pygmy 2.png	矮人 2	Pygmy2	矮人法杖
193	Pygmy 3.png	矮人 3	Pygmy3	矮人法杖
194	Pygmy 4.png	矮人 4	Pygmy4	矮人法杖
195	Pygmy Spear.png	矮人长矛	PygmySpear	矮人
196	Smoke Bomb (projectile).png	烟雾弹	SmokeBomb	烟雾弹
197	Baby Skeletron Head.png	骷髅王头宝宝	BabySkeletronHead	骨头钥匙
198	Baby Hornet.gif	黄蜂宝宝	BabyHornet	花蜜
199	Tiki Spirit (animated).gif	提基幽魂	TikiSpirit	提基图腾
200	Pet Lizard.png	宠物蜥蜴	PetLizard	蜥蜴蛋
201	Grave Marker.png	墓石碑	GraveMarker	任意玩家死亡，或者，在硬核中，除商人和税收官外任意城镇 NPC 死亡
202	Cross Grave Marker.png	十字墓石碑	CrossGraveMarker	任意玩家死亡，或者，在硬核中，除商人和税收官外任意城镇 NPC 死亡
203	Headstone.png	碑石	Headstone	任意玩家死亡，或者，在硬核中，除商人和税收官外任意城镇 NPC 死亡
204	Gravestone.png	墓碑	Gravestone	任意玩家死亡，或者，在硬核中，除商人和税收官外任意城镇 NPC 死亡
205	Obelisk.png	方尖碑	Obelisk	任意玩家死亡，或者，在硬核中，除商人和税收官外任意城镇 NPC 死亡
206	Leaf (projectile).gif	树叶	Leaf	吹叶机
207	Chlorophyte Bullet (projectile).png	叶绿弹	ChlorophyteBullet	使用叶绿弹的任意标准枪
208	Parrot (pet).png	鹦鹉	Parrot	鹦鹉饼干
209	Baby Truffle.png	松露人	Truffle	奇异发光蘑菇
210	Pet Sapling.png	树苗	Sapling	幼苗
211	Wisp (light pet).gif	妖灵	Wisp	妖灵瓶
212	Palladium Pike (projectile).png	钯金刺矛	PalladiumPike	钯金刺矛
213	Palladium Drill.png	钯金钻头	PalladiumDrill	钯金钻头
214	Palladium Chainsaw.png	钯金链锯	PalladiumChainsaw	钯金链锯
215	Orichalcum Halberd (projectile).png	山铜长戟	OrichalcumHalberd	山铜长戟
216	Orichalcum Drill.png	山铜钻头	OrichalcumDrill	山铜钻头
217	Orichalcum Chainsaw.png	山铜链锯	OrichalcumChainsaw	山铜链锯
218	Titanium Trident (projectile).png	钛金三叉戟	TitaniumTrident	钛金三叉戟
219	Titanium Drill.png	钛金钻头	TitaniumDrill	钛金钻头
220	Titanium Chainsaw.png	钛金链锯	TitaniumChainsaw	钛金链锯
221	Flower Petal.png	花瓣	FlowerPetal	山铜盔甲套装奖励
222	Chlorophyte Partisan (projectile).png	叶绿镋	ChlorophytePartisan	叶绿镋
223	Chlorophyte Drill.png	叶绿钻头	ChlorophyteDrill	叶绿钻头
224	Chlorophyte Chainsaw.png	叶绿链锯	ChlorophyteChainsaw	叶绿链锯
225	Chlorophyte Arrow.png	叶绿箭	ChlorophyteArrow	任何使用叶绿箭的标准弓/连弩
226	Crystal Leaf.png	水晶叶	CrystalLeaf	叶绿盔甲套装奖励
227	Crystal Leaf (projectile).png	水晶叶弹	CrystalLeafShot	叶绿盔甲套装奖励
228	Spore Cloud (projectile).gif	孢子云	SporeCloud	叶绿军刀、叶绿镋
229	Chlorophyte Orb (projectile).gif	叶绿珠	ChlorophyteOrb	叶绿双刃刀
230	Amethyst Hook (projectile).png	紫晶钩	GemHookAmethyst	紫晶钩
231	Topaz Hook (projectile).png	黄玉钩	GemHookTopaz	黄玉钩
232	Sapphire Hook (projectile).png	蓝玉钩	GemHookSapphire	蓝玉钩
233	Emerald Hook (projectile).png	翡翠钩	GemHookEmerald	翡翠钩
234	Ruby Hook (projectile).png	红玉钩	GemHookRuby	红玉钩
235	Diamond Hook (projectile).png	钻石钩	GemHookDiamond	钻石钩
236	Baby Dinosaur.png	恐龙宝宝	BabyDino	蚊子琥珀
237	Rain Cloud (projectile) (animated).gif	雨云（移动）	RainCloudMoving	雨云魔杖
238	Nimbus Rod Cloud (animated).gif	雨云（下雨）	RainCloudRaining	雨云魔杖
239	Rain (projectile).png	雨（友方）	RainFriendly	雨云魔杖
240	Cannonball.png	炮弹（敌方）	CannonballHostile	海盗船长
241	Crimsand Ball.png	猩红沙球	CrimsandBallFalling	猩红沙（下落中）
242	High-Velocity Bullet (projectile).png	高射速子弹	BulletHighVelocity	任何使用高射速子弹的标准枪，或乌兹冲锋枪、狙击步枪，或使用银子弹/钨子弹或火枪子弹的维纳斯万能枪
243	Blood Cloud (projectile) (animated).gif	血云（移动）	BloodCloudMoving	猩红魔杖
244	Crimson Rod Cloud (animated).gif	血云（下雨）	BloodCloudRaining	猩红魔杖
245	Blood Rain (projectile).png	血雨	BloodRain	猩红魔杖
246	Stynger Shot.png	毒刺发射器	Stynger	毒刺发射器
247	Flower Pow (projectile).png	花之力	FlowerPow	花之力
248	Flower Pow Petal.png	花之力花瓣	FlowerPowPetal	花之力
249	Stynger Fragments.png	毒刺发射器弹片	StyngerShrapnel	毒刺发射器
250	Rainbow (projectile).png	彩虹（前）	RainbowFront	彩虹枪
251	Rainbow (projectile).png	彩虹（后）	RainbowBack	彩虹枪
252	Chlorophyte Jackhammer (animated).gif	叶绿手提钻	ChlorophyteJackhammer	叶绿手提钻
253	Ball of Frost (projectile).png	寒霜球	BallofFrost	寒霜之花
254	Magnet Sphere (projectile).gif	磁球珠	MagnetSphereBall	磁球
255	Magnet Sphere (projectile).gif	磁球矢	MagnetSphereBolt	磁球
256	Skeletron Hand (projectile).png	骷髅王之手	SkeletronHand	骷髅王之手（钩子）
257	Frost Beam.png	寒霜光束	FrostBeam	冰雪巨人
258	Ball of Fire.png	火球	Fireball	石巨人
259	Eye Beam.png	魔眼光束	EyeBeam	石巨人
260	Heat Ray.png	高温射线枪	HeatRay	高温射线枪
261	Staff of Earth (projectile).png	巨石	BoulderStaffOfEarth	大地法杖
262	Golem Fist (projectile).png	石巨人之拳	GolemFist	石巨人之拳
263	Ice Sickle (projectile).gif	冰雪镰刀	IceSickle	冰雪镰刀
264	Nimbus Rain (projectile).png	雨（敌方）	RainNimbus	愤怒雨云怪
265	Poison Fang (projectile).png	毒牙	PoisonFang	剧毒法杖
266	Baby Slime (minion) (animated).gif	史莱姆宝宝	BabySlime	史莱姆法杖
267	Poison Dart.png	毒镖	PoisonDartBlowgun	使用毒镖的吹箭筒、吹管、飞镖手枪、飞镖步枪
268	Eyeball Spring Pet.png	弹簧眼	EyeSpring	弹簧眼
269	Baby Snowman.png	雪人宝宝	BabySnowman	玩具雪橇
270	Skull (projectile).png	骷髅头	Skull	骷髅头法书（）、骷髅王
271	Boxing Glove (projectile).png	拳击手套	BoxingGlove	致胜炮
272	Bananarang.png	香蕉回旋镖	Bananarang	香蕉回旋镖（抛出的）
273	Chain Knife (projectile).png	链刀	ChainKnife	链刀
274	Death Sickle (projectile).gif	死神镰刀	DeathSickle	死神镰刀
275	Plantera Seed (animated).gif	种子	SeedPlantera	世纪之花
276	Poison Seed (animated).gif	毒种子	PoisonSeedPlantera	世纪之花
277	Thorn Ball.png	刺球	ThornBall	世纪之花
278	Ichor Arrow.png	灵液箭	IchorArrow	使用灵液箭的任意标准弓/连弩
279	Ichor Bullet (projectile).png	灵液弹	IchorBullet	使用灵液弹的任意标准枪
280	Golden Shower (projectile).png	黄金雨（友方）	GoldenShowerFriendly	黄金雨
281	Explosive Bunny.png	爆炸兔	ExplosiveBunny	兔兔炮
282	Venom Arrow.png	毒液箭	VenomArrow	使用毒液箭的任意标准弓/连弩
283	Venom Bullet (projectile).png	毒液弹	VenomBullet	使用毒液弹的任意标准枪
284	Party Bullet (projectile).png	派对弹	PartyBullet	使用派对弹的任意标准枪
285	Nano Bullet (projectile).png	纳米弹	NanoBullet	使用纳米弹的任意标准枪
286	Explosive Bullet (projectile).png	爆炸子弹	ExplosiveBullet	使用爆破弹的任意标准枪
287	Golden Bullet (projectile).png	金子弹	GoldenBullet	使用金子弹的任意标准枪
288	Golden Shower (projectile).png	黄金雨（敌方）	GoldenShowerHostile	灵液黏黏怪
289	Confetti.png	彩纸	ConfettiMelee	派对药剂
290	Shadowbeam Staff.png	暗影光束（敌方）	ShadowBeamHostile	死灵法师
291	Inferno Fork.png	狱火矢（敌方）	InfernoHostileBolt	魔教徒
292	Inferno Fork.png	狱火爆破弹（敌方）	InfernoHostileBlast	魔教徒
293	Spectre Staff.png	亡魂（敌方）	LostSoulHostile	褴褛邪教徒法师
294	Shadowbeam Staff.png	暗影光束（友方）	ShadowBeamFriendly	暗影束法杖
295	Inferno Fork.png	狱火矢（友方）	InfernoFriendlyBolt	狱火叉
296	Inferno Fork.png	狱火爆破弹（友方）	InfernoFriendlyBlast	狱火叉
297	Spectre Staff.png	亡魂（友方）	LostSoulFriendly	幽灵法杖
298	Spectre Hood.png	幽灵治愈	SpiritHeal	幽灵盔甲套装奖励（使用幽灵兜帽）
299	Lightning Orb Arc.png	暗影焰	Shadowflames	巨型诅咒骷髅头
300	Paladin's Hammer.png	圣骑士锤（敌方）	PaladinsHammerHostile	圣骑士
301	Paladin's Hammer.png	圣骑士锤（友方）	PaladinsHammerFriendly	圣骑士锤
302	High-Velocity Bullet (projectile).png	狙击弹	SniperBullet	骷髅狙击手
303	Rocket (projectile).png	火箭	RocketSkeleton	骷髅突击手
304	Vampire Knife (projectile).png	吸血鬼飞刀	VampireKnife	吸血鬼刀
305	Vampire Knives.png	吸血鬼灵飞刀	VampireHeal	吸血鬼刀
306	Eater's Bite (projectile).png	吞噬怪咬刺	EatersBite	腐化者之戟
307	Tiny Eater.gif	小吞噬怪	TinyEater	腐化者之戟
308	Frost Hydra.png	寒霜九头蛇	FrostHydra	寒霜九头蛇法杖
309	Staff of the Frost Hydra.png	寒霜冲击（友方）	FrostBlastFriendly	寒霜九头蛇
310	Blue Flare (projectile).png	蓝照明弹	BlueFlare	使用蓝照明弹的信号枪
311	Candy Corn (projectile).png	玉米糖	CandyCorn	使用玉米糖的玉米糖步枪
312	Explosive Jack 'O Lantern.png	杰克南瓜灯	JackOLantern	杰克南瓜灯发射器
313	Pet Spider.png	蜘蛛	Spider	蜘蛛卵
314	Squashling.png	南瓜娃娃	Squashling	魔法南瓜子
315	Bat Hook (projectile).png	蝙蝠钩	BatHook	蝙蝠钩
316	Bat (projectile).gif	蝙蝠	Bat	蝙蝠权杖
317	Raven (minion).gif	乌鸦	Raven	乌鸦法杖
318	Rotten Egg (projectile).png	臭蛋	RottenEgg	臭蛋（抛出的）
319	Black Cat.png	黑猫	BlackCat	霉运纱线
320	Bloody Machete.png	血腥砍刀	BloodyMachete	血腥砍刀（抛出的）
321	Flaming Jack.gif	烈焰杰克南瓜	FlamingJack	无头骑士剑
322	Spooky Hook (projectile).png	阴森钩	WoodHook	阴森钩
323	Stake.png	尖桩	Stake	使用尖桩的尖桩发射器
324	Cursed Sapling (pet).png	诅咒树苗	CursedSapling	诅咒树苗
325	Flaming Wood.png	烈焰木	FlamingWood	哀木
326	Greek Fire (large) (projectile).png	希腊烈火 1	GreekFire1	哀木
327	Greek Fire (medium) (projectile).png	希腊烈火 2	GreekFire2	哀木
328	Greek Fire (small) (projectile).png	希腊烈火 3	GreekFire3	哀木
329	Flaming Scythe.png	烈焰镰刀	FlamingScythe	南瓜王
330	Star Anise.png	星形茴香	StarAnise	星形茴香（抛出的）
331	Candy Cane Hook (projectile).png	糖棒钩	CandyCaneHook	糖棒钩
332	Christmas Hook (projectile).png	圣诞钩	ChristmasHook	圣诞钩
333	Fruitcake Chakram.png	水果蛋糕旋刃	FruitcakeChakram	水果蛋糕旋刃（抛出的）
334	Puppy.png	小狗	Puppy	狗哨
335	Ornament (friendly) (projectile).gif	装饰（友方）	OrnamentFriendly	圣诞树剑
336	Pine Needle.png	松针（友方）	PineNeedleFriendly	剃刀松
337	Blizzard.gif	暴雪	Blizzard	暴雪法杖
338	Snowman Rocket I.png	初级雪人火箭	RocketSnowmanI	使用初级火箭的雪人炮
339	Snowman Rocket II.png	二级雪人火箭	RocketSnowmanII	使用二级火箭的雪人炮
340	Snowman Rocket III.png	三级雪人火箭	RocketSnowmanIII	使用三级火箭的雪人炮
341	Snowman Rocket IV.png	四级雪人火箭	RocketSnowmanIV	使用四级火箭的雪人炮
342	North Pole (projectile).png	北极	NorthPoleWeapon	北极
343	North Pole Spear.png	北极长矛	NorthPoleSpear	北极
